listing_id,latitude,longitude,hover_description,listing_url,price,property_type,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,reviews_per_month,host_id,host_name,host_identity_verified,host_listings_count,host_total_listings_count,license,neighbourhood,minimum_nights
3686,38.86339,-76.98889,Vita's Hideaway,https://www.airbnb.com/rooms/3686,67.0,Private room in home,Private room,1,84,2,0,2010-11-01,2023-08-30,4.64,0.51,4645,Vita,True,1,4,,SE Historic Anacostia,31.0
3943,38.91195,-77.00456,Historic Rowhouse Near Monuments,https://www.airbnb.com/rooms/3943,82.0,Private room in townhouse,Private room,2,504,34,3,2009-05-10,2024-06-09,4.85,2.74,5059,Vasa,True,5,5,Hosted License: 5007242201001033,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",1.0
4197,38.88719,-76.99472,Capitol Hill Bedroom walk to Metro,https://www.airbnb.com/rooms/4197,135.0,Private room in home,Private room,1,61,8,2,2009-05-14,2024-06-09,4.86,0.33,5061,Sandra,True,2,2,Hosted License: 5007242201000749,"SE Capitol Hill, Lincoln Park",7.0
4529,38.90585,-76.94469,Bertina's  House Part One,https://www.airbnb.com/rooms/4529,66.0,Private room in home,Private room,2,102,0,0,2009-08-08,2019-07-05,4.66,0.56,5803,Bertina,True,4,4,Exempt,"NE Eastland Gardens, Kenilworth",30.0
5589,38.91887,-77.04008,Cozy apt in Adams Morgan,https://www.airbnb.com/rooms/5589,129.5,Entire rental unit,Entire home/apt,3,96,1,0,2009-09-22,2023-08-17,4.5,0.53,6527,Ami,True,2,4,,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",31.0
178395,38.96165,-77.01858,"Spare Room for Washington,DC Visit or entire house",https://www.airbnb.com/rooms/178395,399.0,Private room in home,Private room,1,0,0,0,,,,,852801,Allison,True,2,2,,"NW-mid Takoma, Brightwood, Manor Park",31.0
6165,38.95331,-77.03624,Private Bath & Laundry  + Huge Lower Level Suite,https://www.airbnb.com/rooms/6165,66.0,Private room in townhouse,Private room,1,23,1,0,2010-05-16,2023-07-03,4.95,0.13,5782,Val,False,1,18,,"NW-mid Brightwood Park, Crestwood, Petworth",31.0
7103,38.91999,-77.09774,Lovely guest suite in a quiet but close-in neighborhood,https://www.airbnb.com/rooms/7103,69.0,Entire guest suite,Entire home/apt,2,91,0,0,2010-03-21,2022-06-03,4.79,0.52,17633,Charlotte,True,32,167,,"NW-far Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",31.0
11785,38.92622,-77.07591,Sanctuary near Cathedral,https://www.airbnb.com/rooms/11785,85.0,Entire rental unit,Entire home/apt,4,414,2,1,2010-01-12,2024-06-01,4.59,2.35,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
12442,38.92756,-77.07667,Peaches & Cream near Cathedral,https://www.airbnb.com/rooms/12442,52.0,Private room in home,Private room,2,118,2,0,2010-03-12,2024-04-06,4.62,0.68,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
14218,38.92668,-77.07686,Quiet Comfort near Nat'l Cathedral,https://www.airbnb.com/rooms/14218,52.0,Private room in home,Private room,2,104,0,0,2011-05-01,2023-06-02,4.62,0.65,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
17131,38.92644,-77.07646,The Loft near National Cathedral,https://www.airbnb.com/rooms/17131,52.0,Private room in home,Private room,2,108,2,0,2010-03-24,2024-04-14,4.65,0.62,32015,Teresa,True,4,6,,"NW-far Cathedral Heights, McLean Gardens, Glover Park",31.0
